No,title,author,publisher,出版年,isbn_code
1,アジャイルな見積りと計画づくり ~価値あるソフトウェアを育てる概念と技法~,Mike Cohn,毎日コミュニケーションズ ,2009年1月29日,4839924023
2,サウンドエフェクトのプログラミング―Cによる音の加工と音源合成,小坂直敏,オーム社 ,2012年10月1日,4274068943
3,Unix考古学 Truth of the Legend,藤田昭人,KADOKAWA ,2016年4月28日,4048930508
4,Excelでできる最適化の実践らくらく読本―ソルバーで自由自在に解く,苅田正雄,同友館 ,2003年6月,4496035804
5,戦略的データマイニングアスクルの事例で学ぶ,池尾恭一,日経BP ,2008年4月24日,4822246647
6,Blog Hacksプロが教えるテクニック&ツール100選,宮川達彦,オライリー・ジャパン ,2004年8月7日,4873111749
7,システムテスト自動化 標準ガイド (CodeZine BOOKS),Mark Fewster,翔泳社 ,2014年12月16日,4798139211
8,情報通信ネットワークマネジメント―スタンダードの活用法,ユーレス・ブラック,電気通信協会 ,1999年1月,4885491088
9,多変量統計分析,菅民郎,現代数学社 ,1996年10月,4768702368
10,UNIXプログラミング環境 (海外ブックス),Brian W.Kernighan,アスキー ,1985年9月1日,4871483517
11,Ship It! ソフトウェアプロジェクト 成功のための達人式ガイドブック,Jared Richardson,オーム社 ,2006年8月26日,4274066568
12,SNMPバイブル―インターネット管理への実践ガイド (Professional Computing Series),William Stallings,アジソンウェスレイパブリッシャーズジャパン ,1994年11月1日,4795296510
13,ワインバーグのシステム行動法 ソフトウェア文化を創る (3),G.M.ワインバーグ,共立出版 ,1996年6月5日,4320027086
14,プログラミング言語C++ 第4版,ビャーネ・ストラウストラップ,SBクリエイティブ ,2015年2月28日,4797375957
15,HTML5 Canvas,Steve Fulton,オライリージャパン ,2012年1月21日,4873115272
16,CSS3開発者ガイド 第2版モダンWebデザインのスタイル設計,Peter Gasston,オライリージャパン ,2015年7月3日,4873117259
17,HTML5クックブック,Christopher Schmitt,オライリージャパン ,2012年6月22日,4873115477
18,JavaScriptデザインパターン,Addy Osmani,オライリージャパン ,2013年5月25日,487311618X
19,初めてのJavaScript 第3版ES2015以降の最新ウェブ開発,Ethan Brown,オライリージャパン ,2017年1月20日,4873117836
20,テスタブルJavaScript,Mark Ethan Trostler,オライリージャパン ,2013年9月21日,487311635X
21,ステートフルJavaScriptMVCアーキテクチャに基づくWebアプリケーションの状態管理,Alex MacCaw,オライリージャパン ,2012年6月9日,487311554X
22,JavaScriptクックブック,Shelley Powers,オライリージャパン ,2011年4月23日,4873114942
23,JavaScriptグラフィックスゲーム・スマートフォン・ウェブで使う最新テクニック,Raffaele Cecco,オライリージャパン ,2012年3月16日,4873115280
24,ハイパフォーマンスJavaScript,Nicholas C. Zakas,オライリージャパン ,2011年3月20日,487311490X
25,メンテナブルJavaScript読みやすく保守しやすいJavaScriptコードのための作法,Nicholas C. Zakas,オライリージャパン  ,2013年3月6日,4873116104
26,JavaScriptパターン優れたアプリケーションのための作法,Stoyan Stefanov,オライリージャパン  ,2011年2月16日,4873114888
27,JavaScriptによるデータビジュアライゼーション入門,Stephen A. Thomas,オライリージャパン  ,2015年10月21日,4873117461
28,プログラミングPHP 第3版,Kevin Tatroe,オライリージャパン  ,2014年3月25日,4873116686
29,初めてのPHP & MySQL 第2版,Michele E. Davis,オライリージャパン  ,2008年5月26日,4873113652
30,Handmade Electronic Music手作り電子回路から生まれる音と音楽 (Make: PROJECTS),Nicolas Collins,オライリージャパン  ,2013年1月26日,4873115957
31,発酵の技法世界の発酵食品と発酵文化の探求 (Make:Japan Books),Sandor Ellix Katz,オライリージャパン  ,2016年4月23日,4873117631
32,Making Things TalkArduinoで作る「会話」するモノたち (Make:PROJECTS),Tom Igoe,オライリージャパン  ,2008年11月17日,4873113849
33,XBeeで作るワイヤレスセンサーネットワーク (Make: PROJECTS),Robert Faludi,オライリージャパン  ,2011年12月9日,4873115302
34,Raspberry Pi クックブック 第2版 (Make:PROJECTS),Simon Monk,オライリージャパン  ,2017年8月25日,4873118115
35,Making Things SeeKinectとProcessingではじめる3Dプログラミング (Make: PROJECTS),Greg Borenstein,オライリージャパン  ,2013年3月26日,4873116112
36,Make: Analog Synthesizers (Make: PROJECTS),Ray Wilson,オライリージャパン  ,2017年3月18日,4873117518
37,Making Things Move動くモノを作るためのメカニズムと材料の基本 (Make: PROJECTS),Dustyn Roberts,オライリージャパン  ,2012年3月24日,4873115361
38,Prototyping Lab 第2版「作りながら考える」ためのArduino実践レシピ (Make: PROJECTS),小林茂,オライリージャパン  ,2017年1月19日,4873117895
39,Make: Electronics作ってわかる電気と電子回路の基礎 ((Make:PROJECTS)),Charles Platt,オライリージャパン  ,2010年11月29日,4873114772
40,Make: Technology on Your Time Volume 12,オライリー・ジャパン,オライリージャパン  ,2012年11月24日,4873115566
41,Make: Technology on Your Time Volume 11,オライリー・ジャパン,オライリージャパン  ,2011年4月25日,4873114918
42,Make: Technology on Your Time Volume 10,オライリー・ジャパン,オライリージャパン  ,2010年8月26日,4873114578
43,Make: Technology on Your Time Volume 09,オライリー・ジャパン,オライリージャパン  ,2010年1月27日,4873114330
44,Make: Technology on Your Time Volume 08,オライリー・ジャパン,オライリージャパン  ,2009年9月28日,4873114217
45,Make: Technology on Your Time Volume 07,オライリー・ジャパン,オライリージャパン  ,2009年7月10日,487311411X
46,Make: Technology on Your Time Volume 06,オライリー・ジャパン,オライリージャパン  ,2009年3月27日,4873114012
47,独学プログラマー Python言語の基本から仕事のやり方まで,コーリー・アルソフ,日経BP  ,2018年2月24日,4822292274
48,おもしろいゲームシナリオの作り方41の人気ゲームに学ぶ企画構成テクニック (GAME|DEV|LAB),Josiah Lebowitz,オライリージャパン  ,2014年8月26日,4873116821
49,「レベルアップ」のゲームデザイン実戦で使えるゲーム作りのテクニック,Scott Rogers,オライリージャパン  ,2012年8月18日,4873115639
50,ゲームストーミング会議、チーム、プロジェクトを成功へと導く87のゲーム,Dave Gray,オライリージャパン  ,2011年8月20日,4873115051
51,「タッチパネル」のゲームデザインアプリやゲームをおもしろくするテクニック,Scott Rogers,オライリージャパン  ,2013年8月17日,4873116201
52,Made by HandポンコツDIYで自分を取り戻す (Make: Japan Books),Mark Frauenfelder,オライリージャパン  ,2011年6月25日,4873115000
53,Fabパーソナルコンピュータからパーソナルファブリケーションへ (Make: Japan Books),Neil Gershenfeld,オライリージャパン  ,2012年12月1日,4873115884
54,物を作って生きるには23人のMaker Proが語る仕事と生活 (Make:Japan Books),John Baichtal,オライリージャパン  ,2015年12月26日,487311747X
55,オープンデザイン参加と共創から生まれる「つくりかたの未来」 (Make: Japan Books),Bas Van Abel,オライリージャパン  ,2013年8月24日,4873116317
56,3D Printing Handbook自己表現のための新しいツールを使う・考える (Make: Japan Books),平本知樹,オライリージャパン  ,2014年4月26日,4873116325
57,Makerムーブメント宣言草の根からイノベーションを生む9つのルール (Make: Japan Books),Mark Hatch,オライリージャパン  ,2014年7月24日,4873116805
58,FabLifeデジタルファブリケーションから生まれる「つくりかたの未来」 (Make: Japan Books),田中浩也,オライリージャパン  ,2012年6月9日,4873115558
59,ギークマム21世紀のママと家族のための実験、工作、冒険アイデア (Make: Japan Books),Natania Barron,オライリージャパン  ,2013年10月26日,4873116368
60,マイクロシェルター自分で作れる快適な小屋、ツリーハウス、トレーラーハウス (Make:Japan Books),Derek Diedricksen,オライリージャパン  ,2017年5月26日,4873118034
61,ゲームクリエイターが知るべき97のこと 2,NPO法人IGDA日本 小野 憲史,オライリージャパン  ,2013年8月23日,4873116228
62,ソフトウェアアーキテクトが知るべき97のこと,鈴木 雄介,オライリージャパン  ,2009年10月5日,4873114292
63,ゲームクリエイターが知るべき97のこと,吉岡 直人,オライリージャパン  ,2012年11月5日,4873115701
64,カンフーマック猛獣を飼いならす310の技,Keir Thomas,オライリージャパン  ,2012年10月24日,4873115825
65,ウェブオペレーションサイト運用管理の実践テクニック (THEORY/IN/PRACTICE),John Allspaw,オライリージャパン  ,2011年5月14日,4873114934
66,カーハッカーズ・ハンドブック車載システムの仕組み・分析・セキュリティ,Craig Smith,オライリージャパン  ,2017年12月22日,4873118239
67,世界最先端のマーケティング 顧客とつながる企業のチャネルシフト戦略,奥谷孝司,日経BP  ,2018年2月22日,4822255581
68,UNIXプログラミング実践編―シェル・C言語・開発ツールを使いこなす (FINE SOFTシリーズ),金崎克己,CQ出版  ,1987年9月,478983302X
69,プログラマ主役型プロジェクトのススメ ～ソフトウェア開発現場で本来の力を発揮するために～,細貝俊夫,翔泳社  ,2004年8月7日,4798106844
70,OSIとUNIX―分散トランザクション処理技術解説 (NEシリーズ),中川路哲男,ソフトリサーチセンター  ,1994年11月,4915778452
71,ITエンジニアのための機械学習理論入門,中井悦司,技術評論社  ,2015年10月17日,4774176982
72,Software Engineering Economics (Prentice-Hall Advances in Computing Science & Technology Series),Barry W. Boehm,Prentice Hall  ,1981年10月22日,138221227
73,An Introduction to Database Systems,C.J. Date,Addison Wesley  ,2003年7月22日,321197844
74,Pro Hadoop,Jason Venner,Apress  ,2009年6月17日,1430219424
75,ユニバーサルHTML/XHTML,神崎正英,毎日コミュニケーションズ  ,2000年11月,4839904545
76,Relaxer Java/XMLによるWeb開発,浅海智晴,ピアソンエデュケーション  ,2001年11月,4894715279
77,SEクライシス,越川亘,オーム社  ,1992年4月,4274060144
78,「コンサルティング・ファーム」の仕事,週刊ダイヤモンド編集部,ダイヤモンド社  ,1998年2月1日,4478311579
79,オブジェクト指向分析・設計―開発現場に見る実践の秘訣,本位田真一,共立出版  ,1995年6月25日,4320027418
80,UNIXネットワークの日々,水越賢治,オーム社  ,1993年11月,4274060640
81,UNIX C SHELLフィールドガイド,Gアンダーソン,パーソナルメディア  ,1987年10月,4893620290
82,実践CRM構築―「顧客満足」を獲得するシステム,NTT東日本法人営業本部第三営業部CRM&CTI推進室,NTT出版  ,2000年7月,4757120419
83,CORBAとJava 分散オブジェクト技術,成田雅彦,ソフトリサーチセンター  ,1997年6月,4915778843
84,エンジニアのためのマネジメントキャリアパステックリードからCTOまでマネジメントスキル向上ガイド,Camille Fournier,オライリージャパン  ,2018年9月26日,4873118484
85,ゲームサウンド制作ガイドインタラクティブな音楽のための作曲技法 (GAME|DEV|LAB),Winifred Phillips,オライリージャパン  ,2015年8月26日,4873117291
86,Team GeekGoogleのギークたちはいかにしてチームを作るのか,Brian W. Fitzpatrick,オライリージャパン  ,2013年7月20日,4873116309
87,IPv6 エッセンシャルズ 第2版,Silvia Hagen,オライリー・ジャパン  ,2007年6月22日,4873113288
88,Rによるテキストマイニングtidytextを活用したデータ分析と可視化の基礎,Julia Silge,オライリージャパン  ,2018年5月18日,4873118301
89,エンジニアのための時間管理術,Thomas A. Limoncelli,オライリー・ジャパン  ,2006年10月19日,4873113075
90,RとKerasによるディープラーニング,FrançoisChollet,オライリージャパン  ,2018年10月12日,4873118573
91,実践 CSIRTプレイブックセキュリティ監視とインシデント対応の基本計画,Jeff Bollinger,オライリージャパン  ,2018年5月19日,4873118387
92,詳解 Javaプログラミング第2版〈VOLUME1〉,パトリック・ニーメイヤー,オライリージャパン  ,2003年3月,487311117X
93,Enterprise JavaBeans 3.1 第6版,Andrew Lee Rubinger,オライリージャパン  ,2011年8月26日,4873115086
94,JavaによるRESTfulシステム構築,Bill Burke,オライリージャパン  ,2010年8月23日,4873114675
95,Tomcatハンドブック 第2版,Jason Brittain,オライリージャパン  ,2008年11月21日,4873113881
96,詳解 Tomcat,藤野圭一,オライリージャパン  ,2014年12月26日,4873117054
97,Ant 第2版,Steve Holzner,オライリージャパン  ,2005年11月18日,4873112656
98,Javaパフォーマンス,Scott Oaks,オライリージャパン  ,2015年4月11日,4873117186
99,Jenkins,John Ferguson Smart,オライリージャパン  ,2012年2月22日,4873115345
100,P2P教科書 (インプレス標準教科書シリーズ),江崎 浩,インプレス  ,2007年12月22日,4844325043
101,改訂版 デジタル放送教科書〈下〉 (インプレス標準教科書シリーズ),花村 剛,インプレス  ,2005年3月2日,4844320696
102,改訂版 デジタル放送教科書(上) (インプレス標準教科書シリーズ),花村 剛,インプレス  ,2004年9月30日,4844320270
103,Oracle7クライアント/サーバコンピューティング,スティーブンM.ボブロフスキー,富士ソフトウエア  ,1994年10月,4894330008
104,ギガビットネットワーク―超高速マルチメディアネットワークの基礎と応用 (ADDISON-WESLEYプロフェッショナルコンピューティングシリーズ),クレイグ・パートリッジ,ソフトバンククリエイティブ  ,1995年6月,4890527184
105,ポイント図解式 VPN/VLAN教科書,是友 春樹,アスキー  ,1999年8月1日,4756131913
106,トヨタのネットワーク・バイブル―ここが違う!ここが使える!ここがいただき!,中嶋敏文,オーム社  ,1994年5月,4274945197
107,TCP/IPによるネットワーク構築〈Vol.1〉―原理・プロトコル・アーキテクチャ,DouglasE. Comer,共立出版  ,1997年8月,4320028805
108,ポイント図解式 標準LAN教科書〈下〉,上原 政二,アスキー  ,1998年7月,4756118488
109,岩波講座 ソフトウェア科学〈〔環境〕7〉ソフトウェア実行／開発環境,前川守,岩波書店  ,1992年9月25日,4000103474
110,岩波講座 ソフトウェア科学〈〔理論〕13〉プログラムの基礎理論,佐藤雅彦,岩波書店  ,1991年9月30日,4000103539
111,岩波講座 ソフトウエア科学〈〔知識〕14〉知識と推論,長尾真,岩波書店  ,1988年7月6日,4000103547
112,岩波講座 ソフトウェア科学〈〔理論〕12〉計算モデルの基礎理論,井田哲雄,岩波書店  ,1991年3月28日,4000103520
113,岩波講座 ソフトウェア科学〈〔環境〕6〉オペレーティングシステム,前川守,岩波書店  ,1988年9月6日,4000103466
114,JavaScriptで学ぶ関数型プログラミング,Michael Fogus,オライリージャパン  ,2014年1月18日,4873116600
115,プロダクションレディマイクロサービス運用に強い本番対応システムの実装と標準化,Susan J. Fowler,オライリージャパン  ,2017年9月13日,4873118158
116,マイクロサービスアーキテクチャ,Sam Newman,オライリージャパン  ,2016年2月26日,4873117607
117,デザイニング・ウェブナビゲーション最適なユーザーエクスペリエンスの設計,James Kalbach,オライリージャパン  ,2009年5月25日,4873114101
118,モダンWeb新しいWebプラットフォームの基盤技術,Peter Gasston,オライリージャパン  ,2014年9月10日,4873116929
119,JavaScript 第6版,David Flanagan,オライリージャパン  ,2012年8月10日,4873115736
120,初めてのPHP、MySQL、JavaScript&CSS 第2版,Robin Nixon,オライリージャパン  ,2013年8月21日,4873116333
121,実践 Selenium WebDriver,Satya Avasarala,オライリージャパン  ,2014年9月18日,4873116953
122,セマンティックWeb プログラミング,Toby Segaran,オライリージャパン  ,2010年6月26日,4873114527
123,Apacheセキュリティ,Ivan Ristic,オライリージャパン  ,2005年10月17日,4873112567
124,入門 HTML5,Mark Pilgrim,オライリージャパン  ,2011年4月23日,4873114829
125,ハイパフォーマンス ブラウザネットワーキングネットワークアプリケーションのためのパフォーマンス最適化,Ilya Grigorik,オライリージャパン  ,2014年5月16日,4873116767
126,AngularJSアプリケーション開発ガイド,Brad Green,オライリージャパン  ,2014年4月18日,4873116678
127,Nodeクックブック,David Mark Clements,オライリージャパン  ,2013年2月23日,4873116066
128,入門 Webゲーム開発,Evan Burchard,オライリージャパン  ,2014年3月22日,4873116643
129,Apacheハンドブック,Ben Laurie,オライリージャパン  ,2003年9月1日,4873111501
130,Web解析Hacksオンラインビジネスで最大の効果をあげるテクニック & ツール,Eric T. Peterson,オライリー・ジャパン  ,2006年11月8日,4873113024
131,Mind Hacks実験で知る脳と心のシステム,Tom Stafford,オライリージャパン  ,2005年12月1日,4873112710
132,Spidering hacks―ウェブ情報ラクラク取得テクニック101選,Kevin Hemenway,オライリー・ジャパン  ,2004年5月,4873111870
133,Excel Hacks 第2版― プロが教える究極のテクニック140選,David Hawley,オライリー・ジャパン  ,2007年11月22日,4873113474
134,Binary Hacksハッカー秘伝のテクニック100選,高林哲,オライリー・ジャパン  ,2006年11月14日,4873112885
135,ヘルシープログラマプログラミングを楽しく続けるための健康Hack,Joe Kutner,オライリージャパン  ,2015年7月23日,4873117283
136,SQL Hacksデータベースを自由自在に操るテクニック,Andrew Cumming,オライリー・ジャパン  ,2007年7月28日,4873113318
137,リファクタリング・ウェットウェア達人プログラマーの思考法と学習法,Andy Hunt,オライリージャパン  ,2009年4月27日,4873114039
138,Mind パフォーマンス Hacks脳と心のユーザーマニュアル,Ron Hale-Evans,オライリージャパン  ,2007年8月25日,4873113377
139,Statistics Hacks統計の基本と世界を測るテクニック,Bruce Frey,オライリー・ジャパン  ,2007年12月26日,4873113350
140,パブリックスピーカーの告白効果的な講演、プレゼンテーション、講義への心構えと話し方,Scott Berkun,オライリージャパン  ,2010年10月27日,487311473X
141,アプレンティスシップ・パターン徒弟制度に学ぶ熟練技術者の技と心得 (THEORY/IN/PRACTICE),Dave H. Hoover,オライリージャパン  ,2010年7月8日,4873114608
142,Being Geekギークであり続けるためのキャリア戦略,Michael Lopp,オライリージャパン  ,2011年6月25日,4873114993
143,プログラマのためのサバイバルマニュアル,Josh Carter,オライリージャパン  ,2012年8月22日,487311571X
144,プロダクティブ・プログラマ -プログラマのための生産性向上術 (THEORY/IN/PRACTICE),Neal Ford,オライリージャパン  ,2009年4月27日,4873114020
145,ビューティフルビジュアライゼーション (THEORY/IN/PRACTICE),Julie Steele,オライリージャパン  ,2011年10月26日,4873115043
146,ゲーム開発者のためのAI入門,David M. Bourg,オライリージャパン  ,2005年1月12日,4873112168
147,詳解 システム・パフォーマンス,Brendan Gregg,オライリージャパン  ,2017年2月22日,4873117909
148,インタフェースデザインの実践教室優れたユーザビリティを実現するアイデアとテクニック,Lukas Mathis,オライリージャパン  ,2013年4月17日,4873116082
149,iPhoneアプリ設計の極意思わずタップしたくなるアプリのデザイン,Josh Clark,オライリージャパン  ,2011年6月18日,4873115027
150,CSSシークレット47のテクニックでCSSを自在に操る,Lea Verou,オライリージャパン  ,2016年7月23日,4873117666
151,Google Cloud Platform エンタープライズ設計ガイド,遠山陽介,日経BP  ,2018年5月17日,4822257908
152,プロジェクト・マネジャーが知るべき97のこと,神庭 弘年,オライリージャパン  ,2011年11月29日,4873115108
153,コネクト企業と顧客が相互接続された未来の働き方,Dave Gray,オライリージャパン  ,2013年7月20日,4873116198
154,Subject To Change予測不可能な世界で最高の製品とサービスを作る,Peter Merholz,オライリージャパン  ,2008年10月27日,4873113857
155,リバースエンジニアリングPythonによるバイナリ解析技法 (Art Of Reversing),Justin Seitz,オライリージャパン  ,2010年5月22日,4873114489
156,アート・オブ・プロジェクトマネジメントマイクロソフトで培われた実践手法 (THEORY/IN/PRACTICE),Scott Berkun,オライリー・ジャパン  ,2006年9月7日,4873112990
157,実践ソフトウェア要求ハンドブック (IT Architects’Archive ソフトウェア開発の実践),エレン・ゴッテスディーナー,翔泳社  ,2009年6月30日,4798117080
158,エラスティックリーダーシップ自己組織化チームの育て方,Roy Osherove,オライリージャパン  ,2017年5月13日,4873118026
159,UX戦略ユーザー体験から考えるプロダクト作り,Jaime Levy,オライリージャパン  ,2016年5月25日,4873117542
160,リーンエンタープライズイノベーションを実現する創発的な組織づくり (THE LEAN SERIES),ジェズ・ハンブル,オライリージャパン  ,2016年10月15日,4873117747
161,説得とヤル気の科学最新心理学研究が解き明かす「その気にさせる」メカニズム,Susan Weinschenk,オライリージャパン  ,2014年1月16日,4873116570
162,あなたの知らないところでソフトウェアは何をしているのか?映画やゲームのグラフィックス、データ検索、暗号化、セキュリティー、データ圧縮、ルート探索……華やかな技術の裏でソフトウェアがしていること,V. Anton Spraul,オライリージャパン  ,2016年5月18日,4873117674
163,トラクションスタートアップが顧客をつかむ19のチャネル,ガブリエル・ワインバーグ,オライリージャパン  ,2015年5月23日,4873117224
164,Running Lean実践リーンスタートアップ (THE LEAN SERIES),アッシュ・マウリャ,オライリージャパン  ,2012年12月21日,4873115914
165,リーンブランディングリーンスタートアップによるブランド構築 (THE LEAN SERIES),ローラ・ブッシェ,オライリージャパン  ,2016年8月26日,4873117690
166,Lean Analyticsスタートアップのためのデータ解析と活用法 (THE LEAN SERIES),アリステア・クロール,オライリージャパン  ,2015年1月24日,4873117119
167,リーン顧客開発「売れないリスク」を極小化する技術 (THE LEAN SERIES),シンディ・アルバレス,オライリージャパン  ,2015年4月25日,4873117216
168,プログラミングRust,Jim Blandy,オライリージャパン  ,2018年8月10日,4873118557
169,生き物としての力を取り戻す50の自然体験身近な野あそびから森で生きる方法まで (Make: Japan Books),カシオ計算機株式会社,オライリージャパン  ,2018年7月26日,4873118425
170,アナライジング・マルウェアフリーツールを使った感染事案対処 (Art Of Reversing),新井悠,オライリージャパン  ,2010年12月20日,4873114551
171,サイバーセキュリティプログラミングPythonで学ぶハッカーの思考,Justin Seitz,オライリージャパン  ,2015年10月24日,4873117313
172,イノベーションの神話,Scott Berkun,オライリー・ジャパン  ,2007年10月29日,4873113458
173,Hacking: 美しき策謀 第2版脆弱性攻撃の理論と実際,Jon Erickson,オライリージャパン  ,2011年10月22日,4873115140
174,実践 Metasploitペネトレーションテストによる脆弱性評価,David Kennedy,オライリージャパン  ,2012年5月23日,4873115388
175,「ヒットする」のゲームデザインユーザーモデルによるマーケット主導型デザイン,Chris Bateman,オライリージャパン  ,2009年9月7日,4873114187
176,「おもしろい」のゲームデザイン楽しいゲームを作る理論,Raph Koster,オライリージャパン  ,2005年12月17日,4873112559
177,Unityの教科書 Unity 2018完全対応版 2D&3Dスマートフォンゲーム入門講座 (Entertainment&IDEA),北村愛実,SBクリエイティブ  ,2018年6月21日,4797397659
178,見てわかるUnity5 C#超入門 (Game Developer Books),掌田津耶乃,秀和システム  ,2015年10月30日,4798044962
179,Unityによるモバイルゲーム開発作りながら学ぶ2D/3Dゲームプログラミング入門,Jon Manning,オライリージャパン  ,2018年8月24日,4873118506
180,UnityによるVRアプリケーション開発作りながら学ぶバーチャルリアリティ入門,Jonathan Linowes,オライリージャパン  ,2016年8月26日,4873117577
181,プログラミングAndroid,Zigurd Mednieks,オライリージャパン  ,2012年2月17日,4873115353
182,実践 Android Developer Tools,Mike Wolfson,オライリージャパン  ,2014年4月23日,4873116708
183,初めてのOpenGL ES,山下武志,オライリージャパン  ,2011年7月21日,4873114969
184,UnityによるARゲーム開発作りながら学ぶオーグメンテッドリアリティ入門,Micheal Lanham,オライリージャパン  ,2017年9月2日,4873118107
185,初めてのAndroid 第4版,Ed Burnette,オライリージャパン  ,2016年2月26日,4873117496
186,ビューティフルデータ (THEORY/IN/PRACTICE),Toby Segaran,オライリージャパン  ,2011年2月28日,4873114896
